S,0,0,370,0,0
S,1,4000,371,0,0
S,2,8000,369,0,0
S,3,12000,368,0,0
S,4,16000,369,0,0
S,5,20000,368,0,0
S,6,24000,370,0,0
S,7,28000,373,0,0
S,8,32000,369,0,0
S,9,36000,369,0,0
S,10,40000,371,0,0
S,11,44000,371,0,0
S,12,48000,371,0,0
S,13,52000,368,0,0
S,14,56000,370,0,0
S,15,60000,372,0,0
S,16,64000,368,0,0
S,17,68000,370,0,0
S,18,72000,366,0,0
S,19,76000,368,0,0
S,20,80000,367,0,0
S,21,84000,370,0,0
S,22,88000,368,0,0
S,23,92000,371,0,0
S,24,96000,371,0,0
S,25,100000,371,0,0
S,26,104000,365,0,0
S,27,108000,370,0,0
S,28,112000,371,0,0
S,29,116000,371,0,0
S,30,120000,368,0,0
S,31,124000,370,0,0
S,32,128000,369,0,0
S,33,132000,369,0,0
S,34,136000,374,0,0
S,35,140000,370,0,0
S,36,144000,371,0,0
S,37,148000,373,0,0
S,38,152000,370,0,0
S,39,156000,371,0,0
S,40,160000,372,0,0
S,41,164000,372,0,0
S,42,168000,369,0,0
S,43,172000,372,0,0
S,44,176000,375,0,0
S,45,180000,368,0,0
S,46,184000,374,0,0
S,47,188000,372,0,0
S,48,192000,370,0,0
S,49,196000,376,0,0
S,50,200000,374,0,0
S,51,204000,374,0,0
S,52,208000,378,0,0
S,53,212000,374,0,0
S,54,216000,369,0,0
S,55,220000,372,0,0
S,56,224000,371,0,0
S,57,228000,376,0,0
S,58,232000,372,0,0
S,59,236000,365,0,0
S,60,240000,370,0,0
S,61,244000,374,0,0
S,62,248000,379,0,0
S,63,252000,369,0,0
S,64,256000,368,0,0
S,65,260000,370,0,0
S,66,264000,376,0,0
S,67,268000,377,0,0
S,68,272000,366,0,0
S,69,276000,365,0,0
S,70,280000,370,0,0
S,71,284000,369,0,0
S,72,288000,373,0,0
S,73,292000,368,0,0
S,74,296000,366,0,0
S,75,300000,367,0,0
S,76,304000,365,0,0
S,77,308000,361,0,0
S,78,312000,359,0,0
S,79,316000,368,0,0
S,80,320000,364,0,0
S,81,324000,365,0,0
S,82,328000,362,0,0
S,83,332000,360,0,0
S,84,336000,365,0,0
S,85,340000,366,0,0
S,86,344000,367,0,0
S,87,348000,363,0,0
S,88,352000,364,0,0
S,89,356000,369,0,0
S,90,360000,373,0,0
S,91,364000,380,0,0
S,92,368000,376,0,0
S,93,372000,375,0,0
S,94,376000,377,0,0
S,95,380000,385,0,0
S,96,384000,382,0,0
S,97,388000,385,0,0
S,98,392000,385,0,0
S,99,396000,379,0,0
S,100,400000,384,0,0
S,101,404000,386,0,0
S,102,408000,390,0,0
S,103,412000,386,0,0
S,104,416000,371,0,0
S,105,420000,371,0,0
S,106,424000,374,0,0
S,107,428000,374,0,0
S,108,432000,364,0,0
S,109,436000,361,0,0
S,110,440000,365,0,0
S,111,444000,371,0,0
S,112,448000,369,0,0
S,113,452000,361,0,0
S,114,456000,363,0,0
S,115,460000,363,0,0
S,116,464000,372,0,0
S,117,468000,369,0,0
S,118,472000,363,0,0
S,119,476000,367,0,0
S,120,480000,369,0,0
S,121,484000,370,0,0
S,122,488000,370,0,0
S,123,492000,351,0,0
S,124,496000,360,0,0
S,125,500000,387,0,0
S,126,504000,409,0,0
S,127,508000,474,0,0
S,128,512000,532,0,0
S,129,516000,598,0,0
S,130,520000,622,0,0
S,131,524000,589,0,0
S,132,528000,508,0,0
S,133,532000,427,0,0
S,134,536000,387,0,0
S,135,540000,367,0,0
S,136,544000,357,0,0
S,137,548000,349,0,0
S,138,552000,348,0,0
S,139,556000,346,0,0
S,140,560000,355,0,0
S,141,564000,351,0,0
S,142,568000,348,0,0
S,143,572000,345,0,0
S,144,576000,345,0,0
S,145,580000,351,0,0
S,146,584000,359,0,0
S,147,588000,349,0,0
S,148,592000,353,0,0
S,149,596000,351,0,0
S,150,600000,358,0,0
S,151,604000,358,0,0
S,152,608000,354,0,0
S,153,612000,352,0,0
S,154,616000,354,0,0
S,155,620000,359,0,0
S,156,624000,361,0,0
S,157,628000,356,0,0
S,158,632000,359,0,0
S,159,636000,358,0,0
S,160,640000,360,0,0
S,161,644000,368,0,0
S,162,648000,365,0,0
S,163,652000,358,0,0
S,164,656000,363,0,0
S,165,660000,364,0,0
S,166,664000,367,0,0
S,167,668000,375,0,0
S,168,672000,371,0,0
S,169,676000,369,0,0
S,170,680000,371,0,0
S,171,684000,377,0,0
S,172,688000,381,0,0
S,173,692000,380,0,0
S,174,696000,375,0,0
S,175,700000,378,0,0
S,176,704000,388,0,0
S,177,708000,390,0,0
S,178,712000,391,0,0
S,179,716000,388,0,0
S,180,720000,390,0,0
S,181,724000,394,0,0
S,182,728000,402,0,0
S,183,732000,398,0,0
S,184,736000,397,0,0
S,185,740000,402,0,0
S,186,744000,407,0,0
S,187,748000,410,0,0
S,188,752000,408,0,0
S,189,756000,402,0,0
S,190,760000,403,0,0
S,191,764000,414,0,0
S,192,768000,414,0,0
S,193,772000,409,0,0
S,194,776000,404,0,0
S,195,780000,405,0,0
S,196,784000,404,0,0
S,197,788000,404,0,0
S,198,792000,395,0,0
S,199,796000,388,0,0
S,200,800000,379,0,0
S,201,804000,384,0,0
S,202,808000,381,0,0
S,203,812000,374,0,0
S,204,816000,372,0,0
S,205,820000,368,0,0
S,206,824000,363,0,0
S,207,828000,363,0,0
S,208,832000,362,0,0
S,209,836000,353,0,0
S,210,840000,357,0,0
S,211,844000,361,0,0
S,212,848000,355,0,0
S,213,852000,349,0,0
S,214,856000,354,0,0
S,215,860000,359,0,0
S,216,864000,360,0,0
S,217,868000,360,0,0
S,218,872000,352,0,0
S,219,876000,353,0,0
S,220,880000,363,0,0
S,221,884000,360,0,0
S,222,888000,358,0,0
S,223,892000,357,0,0
S,224,896000,358,0,0
S,225,900000,364,0,0
S,226,904000,361,0,0
S,227,908000,361,0,0
S,228,912000,370,0,0
S,229,916000,365,0,0
S,230,920000,365,0,0
S,231,924000,366,0,0
S,232,928000,373,0,0
S,233,932000,373,0,0
S,234,936000,373,0,0
S,235,940000,363,0,0
S,236,944000,370,0,0
S,237,948000,371,0,0
S,238,952000,372,0,0
S,239,956000,365,0,0
S,240,960000,366,0,0
S,241,964000,378,0,0
S,242,968000,376,0,0
S,243,972000,376,0,0
S,244,976000,375,0,0
S,245,980000,379,0,0
S,246,984000,376,0,0
S,247,988000,371,0,0
S,248,992000,374,0,0
S,249,996000,372,0,0
S,250,1000000,369,0,0
S,251,1004000,375,0,0
S,252,1008000,379,0,0
S,253,1012000,376,0,0
S,254,1016000,373,0,0
S,255,1020000,374,0,0
S,256,1024000,378,0,0
S,257,1028000,376,0,0
S,258,1032000,376,0,0
S,259,1036000,376,0,0
S,260,1040000,376,0,0
S,261,1044000,378,0,0
S,262,1048000,377,0,0
S,263,1052000,376,0,0
S,264,1056000,374,0,0
S,265,1060000,377,0,0
S,266,1064000,374,0,0
S,267,1068000,378,0,0
S,268,1072000,373,0,0
S,269,1076000,376,0,0
S,270,1080000,376,0,0
S,271,1084000,373,0,0
S,272,1088000,380,0,0
S,273,1092000,379,0,0
S,274,1096000,375,0,0
S,275,1100000,378,0,0
S,276,1104000,377,0,0
S,277,1108000,370,0,0
S,278,1112000,376,0,0
S,279,1116000,376,0,0
S,280,1120000,376,0,0
S,281,1124000,374,0,0
S,282,1128000,375,0,0
S,283,1132000,375,0,0
S,284,1136000,378,0,0
S,285,1140000,377,0,0
S,286,1144000,376,0,0
S,287,1148000,379,0,0
S,288,1152000,375,0,0
S,289,1156000,375,0,0
S,290,1160000,372,0,0
S,291,1164000,379,0,0
S,292,1168000,378,0,0
S,293,1172000,378,0,0
S,294,1176000,377,0,0
S,295,1180000,376,0,0
S,296,1184000,376,0,0
S,297,1188000,375,0,0
S,298,1192000,375,0,0
S,299,1196000,376,0,0
S,300,1200000,379,0,0
S,301,1204000,377,0,0
S,302,1208000,376,0,0
S,303,1212000,374,0,0
S,304,1216000,374,0,0
S,305,1220000,379,0,0
S,306,1224000,377,0,0
S,307,1228000,376,0,0
S,308,1232000,375,0,0
S,309,1236000,373,0,0
S,310,1240000,375,0,0
S,311,1244000,377,0,0
S,312,1248000,375,0,0
S,313,1252000,375,0,0
S,314,1256000,375,0,0
S,315,1260000,376,0,0
S,316,1264000,372,0,0
S,317,1268000,375,0,0
S,318,1272000,374,0,0
S,319,1276000,377,0,0
S,320,1280000,374,0,0
S,321,1284000,377,0,0
S,322,1288000,379,0,0
S,323,1292000,375,0,0
S,324,1296000,374,0,0
S,325,1300000,376,0,0
S,326,1304000,375,0,0
S,327,1308000,373,0,0
S,328,1312000,376,0,0
S,329,1316000,380,0,0
S,330,1320000,375,0,0
S,331,1324000,375,0,0
S,332,1328000,373,0,0
S,333,1332000,376,0,0
S,334,1336000,372,0,0
S,335,1340000,373,0,0
S,336,1344000,378,0,0
S,337,1348000,373,0,0
S,338,1352000,377,0,0
S,339,1356000,378,0,0
S,340,1360000,376,0,0
S,341,1364000,376,0,0
S,342,1368000,379,0,0
S,343,1372000,375,0,0
S,344,1376000,374,0,0
S,345,1380000,372,0,0
S,346,1384000,375,0,0
S,347,1388000,378,0,0
S,348,1392000,377,0,0
S,349,1396000,373,0,0
S,350,1400000,373,0,0
S,351,1404000,374,0,0
S,352,1408000,375,0,0
S,353,1412000,374,0,0
S,354,1416000,375,0,0
S,355,1420000,375,0,0
S,356,1424000,374,0,0
S,357,1428000,375,0,0
S,358,1432000,375,0,0
S,359,1436000,374,0,0
S,360,1440000,376,0,0
S,361,1444000,379,0,0
S,362,1448000,376,0,0
S,363,1452000,375,0,0
S,364,1456000,371,0,0
S,365,1460000,375,0,0
S,366,1464000,370,0,0
S,367,1468000,376,0,0
S,368,1472000,382,0,0
S,369,1476000,377,0,0
S,370,1480000,371,0,0
S,371,1484000,369,0,0
S,372,1488000,373,0,0
S,373,1492000,375,0,0
S,374,1496000,373,0,0
S,375,1500000,373,0,0
S,376,1504000,372,0,0
S,377,1508000,375,0,0
S,378,1512000,378,0,0
S,379,1516000,373,0,0
S,380,1520000,371,0,0
S,381,1524000,370,0,0
S,382,1528000,376,0,0
S,383,1532000,373,0,0
