S,0,24,406,0,0,398
S,1,4020,437,0,0,3584
S,2,8020,435,0,0,7909
S,3,12024,403,0,0,12136
S,4,16020,383,0,0,16367
S,5,20020,402,0,0,20387
S,6,24020,426,0,0,23672
S,7,28020,421,0,0,27862
S,8,32020,386,0,0,31902
S,9,36020,363,0,0,36310
S,10,40020,380,0,0,40226
S,11,44020,405,0,0,43626
S,12,48020,400,0,0,47624
S,13,52020,365,0,0,51796
S,14,56020,346,0,0,56192
S,15,60020,367,0,0,60180
S,16,64020,396,0,0,64392
S,17,68020,393,0,0,2093
S,18,72020,362,0,0,6189
S,19,76020,344,0,0,10686
S,20,80020,365,0,0,14828
S,21,84020,395,0,0,18859
S,22,88020,393,0,0,22090
S,23,92020,361,0,0,26123
S,24,96020,343,0,0,30298
S,25,100020,365,0,0,34753
S,26,104020,395,0,0,38852
S,27,108024,395,0,0,42089
S,28,112024,364,0,0,46313
S,29,116020,344,0,0,50288
S,30,120020,363,0,0,54688
S,31,124020,395,0,0,58849
S,32,128020,395,0,0,62910
S,33,132024,364,0,0,759
S,34,136020,345,0,0,4653
S,35,140020,366,0,0,9147
S,36,144024,397,0,0,13107
S,37,148020,396,0,0,17311
S,38,152020,364,0,0,20636
S,39,156020,344,0,0,24585
S,40,160020,364,0,0,28754
S,41,164024,395,0,0,33048
S,42,168020,394,0,0,37366
S,43,172024,363,0,0,40634
S,44,176020,344,0,0,44770
S,45,180020,365,0,0,48758
S,46,184020,397,0,0,53109
S,47,188020,396,0,0,57301
S,48,192020,364,0,0,61258
S,49,196020,344,0,0,64735
S,50,200024,363,0,0,3074
S,51,204020,393,0,0,7501
S,52,208020,392,0,0,11563
S,53,212024,359,0,0,15721
S,54,216020,338,0,0,19123
S,55,220020,359,0,0,23079
S,56,224020,391,0,0,27304
S,57,228024,391,0,0,31493
S,58,232020,357,0,0,35592
S,59,236020,336,0,0,39068
S,60,240020,355,0,0,43208
S,61,244020,386,0,0,47240
S,62,248020,386,0,0,51563
S,63,252020,354,0,0,55594
S,64,256020,332,0,0,59675
S,65,260024,352,0,0,63130
S,66,264020,384,0,0,1682
S,67,268020,384,0,0,5939
S,68,272020,353,0,0,10165
S,69,276024,333,0,0,14132
S,70,280020,353,0,0,17655
S,71,284020,385,0,0,21686
S,72,288020,384,0,0,25816
S,73,292020,351,0,0,30118
S,74,296020,330,0,0,34128
S,75,300020,350,0,0,37605
S,76,304020,382,0,0,41634
S,77,308020,384,0,0,45821
S,78,312020,351,0,0,50113
S,79,316020,330,0,0,54133
S,80,320020,349,0,0,58141
S,81,324020,381,0,0,61596
S,82,328020,381,0,0,126
S,83,332020,350,0,0,4604
S,84,336020,329,0,0,8588
S,85,340020,348,0,0,12600
S,86,344020,381,0,0,16122
S,87,348024,386,0,0,20136
S,88,352020,358,0,0,24111
S,89,356024,339,0,0,28599
S,90,360020,359,0,0,32620
S,91,364020,391,0,0,35885
S,92,368020,393,0,0,40004
S,93,372020,364,0,0,44032
S,94,376020,343,0,0,48600
S,95,380020,363,0,0,52549
S,96,384020,397,0,0,56828
S,97,388024,398,0,0,59986
S,98,392020,366,0,0,64093
S,99,396020,342,0,0,3015
S,100,400024,358,0,0,7068
S,101,404024,389,0,0,11230
S,102,408020,390,0,0,14386
S,103,412020,357,0,0,18544
S,104,416020,332,0,0,22582
S,105,420020,347,0,0,27008
S,106,424020,376,0,0,31040
S,107,428020,377,0,0,34528
S,108,432020,348,0,0,38562
S,109,436020,329,0,0,42518
S,110,440020,347,0,0,47079
S,111,444020,376,0,0,51045
S,112,448020,377,0,0,55067
S,113,452020,346,0,0,58521
S,114,456020,325,0,0,62565
S,115,460020,343,0,0,1495
S,116,464020,374,0,0,5521
S,117,468020,377,0,0,9535
S,118,472020,348,0,0,13049
S,119,476020,327,0,0,16963
S,120,480020,341,0,0,21054
S,121,484020,365,0,0,25511
S,122,488020,365,0,0,29508
S,123,492020,345,0,0,32977
S,124,496020,353,0,0,37006
S,125,500020,422,0,0,41192
S,126,504020,520,0,0,45733
S,127,508020,588,0,0,49728
S,128,512020,597,0,0,53958
S,129,516020,554,0,0,56600
S,130,520020,498,0,0,60963
S,131,524020,453,0,0,65461
S,132,528020,402,0,0,3978
S,133,532024,341,0,0,8160
S,134,536024,309,0,0,11363
S,135,540020,328,0,0,15539
S,136,544020,361,0,0,19709
S,137,548020,364,0,0,23897
S,138,552020,333,0,0,28059
S,139,556020,313,0,0,31310
S,140,560024,330,0,0,35414
S,141,564020,360,0,0,39641
S,142,568020,363,0,0,43833
S,143,572020,334,0,0,48061
S,144,576020,314,0,0,52150
S,145,580020,333,0,0,55392
S,146,584020,365,0,0,59555
S,147,588020,369,0,0,63774
S,148,592024,341,0,0,2384
S,149,596020,322,0,0,6634
S,150,600020,340,0,0,9759
S,151,604020,371,0,0,13977
S,152,608024,374,0,0,18175
S,153,612020,347,0,0,22399
S,154,616024,327,0,0,26508
S,155,620020,345,0,0,29759
S,156,624020,377,0,0,33912
S,157,628020,380,0,0,38108
S,158,632020,352,0,0,42275
S,159,636024,332,0,0,46498
S,160,640024,349,0,0,50668
S,161,644020,379,0,0,53863
S,162,648020,383,0,0,57984
S,163,652020,355,0,0,62269
S,164,656020,336,0,0,874
S,165,660020,354,0,0,5113
S,166,664024,385,0,0,8437
S,167,668020,390,0,0,12383
S,168,672020,362,0,0,16604
S,169,676020,342,0,0,20801
S,170,680020,359,0,0,24979
S,171,684020,392,0,0,28381
S,172,688020,396,0,0,32446
S,173,692020,369,0,0,36578
S,174,696020,349,0,0,40749
S,175,700020,366,0,0,44991
S,176,704020,398,0,0,48928
S,177,708020,402,0,0,52381
S,178,712020,376,0,0,56468
S,179,716020,356,0,0,60713
S,180,720024,374,0,0,64848
S,181,724020,406,0,0,3356
S,182,728024,413,0,0,6904
S,183,732020,386,0,0,10826
S,184,736020,365,0,0,15050
S,185,740020,383,0,0,19321
S,186,744020,416,0,0,23365
S,187,748020,421,0,0,26849
S,188,752020,393,0,0,30890
S,189,756020,372,0,0,35062
S,190,760020,388,0,0,39397
S,191,764024,417,0,0,43373
S,192,768020,419,0,0,47484
S,193,772020,389,0,0,50939
S,194,776020,364,0,0,55025
S,195,780020,377,0,0,59205
S,196,784020,403,0,0,63432
S,197,788020,401,0,0,1900
S,198,792020,367,0,0,5233
S,199,796020,340,0,0,9451
S,200,800020,351,0,0,13455
S,201,804020,379,0,0,17674
S,202,808020,380,0,0,21998
S,203,812020,350,0,0,25197
S,204,816024,326,0,0,29214
S,205,820020,339,0,0,33446
S,206,824020,367,0,0,37753
S,207,828020,369,0,0,41926
S,208,832020,340,0,0,45980
S,209,836020,318,0,0,49239
S,210,840020,334,0,0,53444
S,211,844020,365,0,0,57670
S,212,848020,369,0,0,61757
S,213,852020,340,0,0,440
S,214,856020,317,0,0,3634
S,215,860020,332,0,0,7906
S,216,864020,363,0,0,11946
S,217,868020,367,0,0,16143
S,218,872020,339,0,0,20432
S,219,876020,317,0,0,23583
S,220,880020,333,0,0,27656
S,221,884020,364,0,0,31880
S,222,888020,369,0,0,36214
S,223,892020,340,0,0,40434
S,224,896024,316,0,0,44489
S,225,900020,332,0,0,47636
S,226,904020,363,0,0,51920
S,227,908020,368,0,0,56170
S,228,912020,340,0,0,60201
S,229,916020,316,0,0,64480
S,230,920020,331,0,0,2167
S,231,924020,362,0,0,6391
S,232,928020,368,0,0,10370
S,233,932020,340,0,0,14599
S,234,936020,316,0,0,18828
S,235,940020,330,0,0,22107
S,236,944020,361,0,0,26143
S,237,948020,367,0,0,30392
S,238,952024,339,0,0,34667
S,239,956020,315,0,0,38830
S,240,960024,330,0,0,42924
S,241,964020,361,0,0,46114
S,242,968020,368,0,0,50392
S,243,972020,340,0,0,54621
S,244,976020,317,0,0,58707
S,245,980020,331,0,0,62852
S,246,984020,362,0,0,583
S,247,988020,367,0,0,4835
S,248,992020,339,0,0,8880
S,249,996020,314,0,0,13176
S,250,1000020,328,0,0,17385
S,251,1004020,358,0,0,20582
S,252,1008020,365,0,0,24586
S,253,1012020,338,0,0,28820
S,254,1016020,316,0,0,33049
S,255,1020020,328,0,0,37324
S,256,1024020,358,0,0,41085
S,257,1028020,364,0,0,45014
S,258,1032020,339,0,0,48906
S,259,1036020,315,0,0,52931
S,260,1040020,328,0,0,57047
S,261,1044020,357,0,0,61019
S,262,1048020,364,0,0,64945
S,263,1052020,339,0,0,3376
S,264,1056020,318,0,0,7474
S,265,1060020,330,0,0,11495
S,266,1064024,360,0,0,15402
S,267,1068020,368,0,0,19359
S,268,1072020,344,0,0,23504
S,269,1076020,322,0,0,27499
S,270,1080020,334,0,0,31364
S,271,1084020,361,0,0,35330
S,272,1088024,369,0,0,39529
S,273,1092020,346,0,0,43503
S,274,1096024,323,0,0,47385
S,275,1100020,334,0,0,51385
S,276,1104020,362,0,0,55546
S,277,1108020,369,0,0,59456
S,278,1112024,348,0,0,63362
S,279,1116024,327,0,0,1849
S,280,1120020,340,0,0,5961
S,281,1124020,370,0,0,9934
S,282,1128020,380,0,0,13859
