record,snr_db,fs,start_seconds,seconds,n_windows,window_seconds,mean_sqi_score,pct_windows_suppressed,pct_windows_unreliable,level_unreliable,level_poor,level_usable_for_rate_qrs,level_usable_for_pqrst,total_qrs_detected,mean_baseline_wander_score,mean_hf_noise_score,mean_rr_plausibility_score,mean_flatline_fraction,warnings_allowed_windows,warnings_suppressed_windows
118e24,24,360.0,300.0,60.0,6,10.0,0.8690782058793821,0.0,0.0,0,0,0,6,75,0.2895813714936008,0.09375169551443872,0.9861111111111112,0.0,6,0
118e18,18,360.0,300.0,60.0,6,10.0,0.7876407942400306,0.0,0.0,0,0,0,6,78,0.41926770591314516,0.08456820327116805,1.0,0.0,6,0
118e12,12,360.0,300.0,60.0,6,10.0,0.6905374528261979,0.0,0.0,0,0,3,3,83,0.5594193113740593,0.06828409587997963,0.9743589743589745,0.0,6,0
118e06,6,360.0,300.0,60.0,6,10.0,0.6342842448636486,0.0,0.0,0,0,6,0,93,0.6429609481636741,0.05276850173064185,0.953968253968254,0.0,6,0
118e00,0,360.0,300.0,60.0,6,10.0,0.6163174458295569,0.0,0.0,0,0,6,0,93,0.6738340790854408,0.044994757997012524,0.9552350427350428,0.0,6,0
118e_6,-6,360.0,300.0,60.0,6,10.0,0.6130273445046746,0.0,0.0,0,0,6,0,83,0.6826175829597624,0.04060880036812562,0.9714285714285715,0.0,6,0
