record,annotator,fs,window_start_s,window_seconds,lead,tolerance_ms,n_ref_p,n_ref_r,n_ref_t,n_ref_qrs_onset,n_ref_qrs_offset,n_pred_p,n_pred_r,n_pred_t,unmapped_rate,p_matched,p_false_positive,p_missing,p_coverage,p_mae_ms,p_median_ae_ms,p_std_ms,p_mae_samples,p_unavailable_rate,r_matched,r_false_positive,r_missing,r_coverage,r_mae_ms,r_median_ae_ms,r_std_ms,r_mae_samples,r_unavailable_rate,t_matched,t_false_positive,t_missing,t_coverage,t_mae_ms,t_median_ae_ms,t_std_ms,t_mae_samples,t_unavailable_rate,q_vs_qrs_onset_approx_matched,q_vs_qrs_onset_approx_coverage,q_vs_qrs_onset_approx_mae_ms,q_vs_qrs_onset_approx_median_ae_ms,s_vs_qrs_offset_approx_matched,s_vs_qrs_offset_approx_coverage,s_vs_qrs_offset_approx_mae_ms,s_vs_qrs_offset_approx_median_ae_ms,overall_mae_ms,overall_median_ae_ms,overall_std_ms
sel871,q1c,250.0,601.116,90.0,0,150.0,51,51,51,51,51,95,95,95,0.0,51,44,0,1.0,10.901960784313726,12.0,5.865072657518406,2.7254901960784315,0.0,51,44,0,1.0,12.941176470588236,12.0,14.953059964662922,3.235294117647059,0.0,51,44,0,1.0,8.313725490196079,8.0,9.371154215682415,2.0784313725490198,0.0,51,1.0,74.19607843137256,84.0,51,1.0,22.19607843137255,20.0,10.718954248366012,8.0,7.020471946912395
sel872,q1c,250.0,600.332,28.092,0,150.0,30,30,30,30,30,31,31,31,0.0,30,1,0,1.0,7.6,4.0,7.978860960201163,1.9,0.0,30,1,0,1.0,4.266666666666667,4.0,2.293953404544701,1.0666666666666667,0.0,30,1,0,1.0,9.333333333333334,10.0,9.574038971208662,2.3333333333333335,0.0,30,1.0,21.866666666666667,20.0,30,1.0,9.2,8.0,7.066666666666666,4.0,5.401234426807759
sel873,q1c,250.0,600.512,90.0,0,150.0,30,30,30,30,30,85,85,85,0.0,30,55,0,1.0,26.533333333333335,12.0,40.035761791456174,6.633333333333334,0.0,30,55,0,1.0,5.866666666666666,6.0,2.246973272847029,1.4666666666666666,0.0,30,55,0,1.0,8.666666666666666,8.0,7.571877794400365,2.1666666666666665,0.0,30,1.0,16.666666666666668,18.0,30,1.0,6.266666666666667,4.0,13.688888888888888,8.0,21.140610967963188
sel883,q1c,250.0,601.172,31.192,0,150.0,30,30,30,30,30,36,37,37,0.0,30,6,0,1.0,7.6,8.0,8.142071808411748,1.9,0.0,30,7,0,1.0,6.133333333333334,6.0,2.8720878971384023,1.5333333333333334,0.0,30,7,0,1.0,90.66666666666667,96.0,71.81457605064124,22.666666666666668,0.0,30,1.0,15.6,16.0,30,1.0,9.333333333333334,8.0,34.8,8.0,39.98421910926582
sel891,q1c,250.0,600.152,90.0,0,150.0,57,70,70,70,70,127,128,128,0.0,56,71,1,0.9824561403508771,9.571428571428571,8.0,12.70384804309469,2.392857142857143,0.18571428571428572,70,58,0,1.0,17.885714285714286,20.0,3.495069413342407,4.4714285714285715,0.0,70,58,0,1.0,7.485714285714286,8.0,5.252482406307653,1.8714285714285714,0.0,70,1.0,21.142857142857142,20.0,70,1.0,53.31428571428572,56.0,11.795918367346939,12.0,7.6103570455454355
sele0104,q1c,250.0,600.732,32.492,0,150.0,30,30,30,30,30,30,31,31,0.016129032258064516,30,0,0,1.0,13.733333333333333,12.0,3.9575525545748884,3.433333333333333,0.0,30,1,0,1.0,8.0,8.0,2.5298221281347035,2.0,0.0,27,4,3,0.9,126.22222222222223,132.0,18.835217867037414,31.555555555555557,0.0,30,1.0,40.266666666666666,40.0,30,1.0,4.533333333333333,4.0,46.666666666666664,12.0,54.51113282195269
sele0106,q1c,250.0,600.588,31.764,0,150.0,30,30,30,30,30,58,58,58,0.08074534161490683,30,28,0,1.0,8.0,8.0,9.906226997870245,2.0,0.0,30,28,0,1.0,16.133333333333333,16.0,2.6297443897754693,4.033333333333333,0.0,12,46,18,0.4,98.33333333333333,110.0,35.26880900865365,24.583333333333332,0.0,30,1.0,48.4,48.0,30,1.0,14.666666666666666,16.0,26.444444444444443,16.0,35.755686761723226
sele0107,q1c,250.0,600.964,90.0,0,150.0,30,30,30,30,30,157,157,157,0.0641025641025641,30,127,0,1.0,122.0,128.0,24.77597402502854,30.5,0.0,30,127,0,1.0,5.066666666666666,4.0,2.5157283018817616,1.2666666666666666,0.0,22,135,8,0.7333333333333333,99.0909090909091,96.0,10.085584180624481,24.772727272727273,0.0,30,1.0,36.13333333333333,36.0,30,1.0,43.86666666666667,44.0,73.07317073170732,96.0,54.37018114061727
sele0110,q1c,250.0,601.064,29.304,0,150.0,30,30,30,30,30,40,40,40,0.0,30,10,0,1.0,48.666666666666664,48.0,36.08409929902952,12.166666666666666,0.0,30,10,0,1.0,2.4,4.0,3.5777087639996634,0.6,0.0,30,10,0,1.0,43.733333333333334,24.0,38.77226958650846,10.933333333333334,0.0,30,1.0,53.333333333333336,54.0,30,1.0,10.933333333333334,12.0,31.6,24.0,30.64375956047169
sele0111,q1c,250.0,601.132,30.128,0,150.0,30,30,30,30,30,60,60,60,0.1,30,30,0,1.0,14.266666666666667,12.0,15.377328188675111,3.566666666666667,0.0,30,30,0,1.0,14.266666666666667,16.0,14.608977452998626,3.566666666666667,0.0,30,30,0,1.0,123.33333333333333,118.0,123.85432303045918,30.833333333333332,0.0,30,1.0,30.0,26.0,30,1.0,19.866666666666667,20.0,50.62222222222222,16.0,52.446497134969796
