record,annotator,fs,window_start_s,window_seconds,lead,tolerance_ms,n_ref_p,n_ref_r,n_ref_t,n_ref_qrs_onset,n_ref_qrs_offset,n_pred_p,n_pred_r,n_pred_t,unmapped_rate,p_matched,p_false_positive,p_missing,p_coverage,p_mae_ms,p_median_ae_ms,p_std_ms,p_mae_samples,p_unavailable_rate,r_matched,r_false_positive,r_missing,r_coverage,r_mae_ms,r_median_ae_ms,r_std_ms,r_mae_samples,r_unavailable_rate,t_matched,t_false_positive,t_missing,t_coverage,t_mae_ms,t_median_ae_ms,t_std_ms,t_mae_samples,t_unavailable_rate,q_vs_qrs_onset_approx_matched,q_vs_qrs_onset_approx_coverage,q_vs_qrs_onset_approx_mae_ms,q_vs_qrs_onset_approx_median_ae_ms,s_vs_qrs_offset_approx_matched,s_vs_qrs_offset_approx_coverage,s_vs_qrs_offset_approx_mae_ms,s_vs_qrs_offset_approx_median_ae_ms,overall_mae_ms,overall_median_ae_ms,overall_std_ms
sel16420,q1c,250.0,600.504,26.292,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,12.4,12.0,6.053098380168622,3.1,0.0,30,0,0,1.0,2.8,4.0,3.3862466931200785,0.7,0.0,30,0,0,1.0,12.533333333333333,12.0,10.549354903921325,3.1333333333333333,0.0,30,1.0,29.866666666666667,32.0,30,1.0,16.8,16.0,9.244444444444444,8.0,7.627889049928865
sel16483,q1c,250.0,600.532,24.98,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,7.6,8.0,6.379132647416366,1.9,0.0,30,0,0,1.0,9.866666666666667,12.0,2.472964932132188,2.466666666666667,0.0,30,0,0,1.0,7.6,8.0,5.3814496188294845,1.9,0.0,30,1.0,26.266666666666666,26.0,30,1.0,23.066666666666666,20.0,8.355555555555556,8.0,4.326433252849051
sel16539,q1c,250.0,600.24,29.332,0,150.0,30,30,30,30,30,30,31,31,0.0,30,0,0,1.0,8.4,8.0,3.629508690350987,2.1,0.0,30,1,0,1.0,3.8666666666666667,4.0,2.186829262247563,0.9666666666666667,0.0,30,1,0,1.0,8.4,8.0,8.17693232344638,2.1,0.0,30,1.0,23.066666666666666,24.0,30,1.0,15.733333333333333,16.0,6.888888888888889,8.0,4.175176495123541
sel16773,q1c,250.0,600.544,27.744,0,150.0,30,30,30,30,30,30,30,30,0.1,30,0,0,1.0,16.266666666666666,16.0,6.526527066944222,4.066666666666666,0.0,30,0,0,1.0,5.333333333333333,4.0,2.5991451586157237,1.3333333333333333,0.0,30,0,0,1.0,31.6,32.0,13.959305936264245,7.9,0.0,30,1.0,29.333333333333332,30.0,30,1.0,20.133333333333333,20.0,17.733333333333334,16.0,13.037382150314277
sel16786,q1c,250.0,600.764,29.596,0,150.0,30,30,30,30,30,30,31,31,0.0,30,0,0,1.0,9.466666666666667,8.0,4.318435930853773,2.3666666666666667,0.0,30,1,0,1.0,4.8,4.0,1.9043809142780934,1.2,0.0,30,1,0,1.0,9.466666666666667,8.0,4.440220214759123,2.3666666666666667,0.0,30,1.0,29.733333333333334,32.0,30,1.0,43.2,44.0,7.911111111111111,8.0,4.340108663371983
sel16795,q1c,250.0,601.5,36.316,0,150.0,30,30,30,30,30,32,33,33,0.0,30,2,0,1.0,10.8,10.0,6.571318149520857,2.7,0.0,30,3,0,1.0,12.266666666666667,12.0,2.515728301881761,3.066666666666667,0.0,30,3,0,1.0,6.4,6.0,7.4284737478315295,1.6,0.0,30,1.0,28.666666666666668,28.0,30,1.0,30.266666666666666,28.0,9.822222222222223,10.0,5.169521314133828
sel17152,q1c,250.0,600.072,17.188,0,150.0,30,30,30,30,30,32,32,32,0.0,30,2,0,1.0,6.933333333333334,8.0,2.293953404544701,1.7333333333333334,0.0,30,2,0,1.0,3.2,4.0,3.3306655991458123,0.8,0.0,30,2,0,1.0,113.46666666666667,110.0,12.878233143132984,28.366666666666667,0.0,30,1.0,14.0,12.0,30,1.0,11.866666666666667,8.0,41.2,8.0,51.71357010817696
sel17453,q1c,250.0,600.464,27.084,0,150.0,30,30,30,30,30,30,30,30,0.06389776357827476,30,0,0,1.0,10.133333333333333,12.0,6.4277177563701064,2.533333333333333,0.0,30,0,0,1.0,6.0,6.0,2.6699979192667715,1.5,0.0,30,0,0,1.0,15.333333333333334,12.0,11.13073822050152,3.8333333333333335,0.0,30,1.0,15.2,16.0,30,1.0,25.333333333333332,24.0,10.488888888888889,8.0,8.101089699601385
sel213,q1c,250.0,600.188,90.0,0,150.0,28,28,28,28,28,164,164,163,0.0,28,136,0,1.0,65.71428571428571,66.0,51.83411531225436,16.428571428571427,0.0,28,136,0,1.0,5.857142857142857,4.0,2.7217941261796645,1.4642857142857142,0.0,28,135,0,1.0,71.85714285714286,68.0,35.745985931347334,17.964285714285715,0.0,28,1.0,26.285714285714285,28.0,28,1.0,14.428571428571429,8.0,47.80952380952381,52.0,36.789774779749216
sel221,q1c,250.0,601.452,37.112,0,150.0,0,30,30,30,30,51,51,51,0.0,0,51,0,0.0,,,,,1.0,30,21,0,1.0,3.8666666666666667,4.0,2.669997919266771,0.9666666666666667,0.0,30,21,0,1.0,13.6,12.0,13.542361520634266,3.4,0.0,30,1.0,19.333333333333332,20.0,30,1.0,15.333333333333334,4.0,8.733333333333333,4.0,9.13576609936037
